"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест получения списка всех категорий.","21","test_get_all_categories","tests.integration","2026-02-15","passed","2026-02-15","TestCategoriesAPI","test_adv","",""
"Позитивный тест поиска по категории и ключевому слову (оба параметра)","1","test_get_adverts_by_category_and_keyword_both","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест полного обновления объявления","6","test_update_advert_success","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Тест проверяет вызов session.execute с правильным SQL","5","test_create_calls_session_execute_with_correct_sql","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест полного обновления","1","test_update_advert_success","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Тест проверяет вызов builder с правильным объявлением","3","test_create_calls_builder_with_correct_advert","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Тест проверяет передачу правильного ID в builder","1","test_get_by_id_calls_builder_with_correct_id","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryLondon","test_advert_repo_london","",""
"Позитивный тест проверки создания объявления пользователем","4","test_is_created_true","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест поиска по категории","4","test_get_adverts_by_category_success","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест получения объявлений пользователя","4","test_get_advert_by_user_success","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест поиска по ключевому слову","1","test_get_adverts_by_key_word","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест удаления объявления","1","test_delete_advert_success","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Негативный тест обновления несуществующего объявления","2","test_update_advert_not_found","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Тест проверяет преобразование DTO в словарь","1","test_partial_update_converts_dto_to_dict","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceLondon","test_advert_service_london","",""
"Позитивный тест получения всех объявлений","1","test_get_all_adverts","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест поиска по категории","1","test_get_adverts_by_category","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест получения объявлений пользователя","1","test_get_advert_by_user","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Негативный тест удаления несуществующего объявления","1","test_delete_advert_not_found","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест создания объявления","1","test_create_advert_success","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Негативный тест создания объявления (репозиторий возвращает None)","1","test_create_advert_failure","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
"Позитивный тест создания объявления","6","test_create_advert_success","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест получения всех объявлений","5","test_get_all_adverts_success","tests.unit.advert_repo","2026-02-15","passed","2026-02-15","TestAdvertRepositoryClassic","test_advert_repo_classic","",""
"Позитивный тест частичного обновления","1","test_partial_update_advert_success","tests.unit.advert_service","2026-02-15","passed","2026-02-15","TestAdvertServiceClassic","test_advert_service_classic","",""
