id;name
bd29f255-50ab-4967-bc77-475a5fbe7952;Транспорт
37f7590e-aaa2-466f-8b92-113ae31507f9;Недвижимость
4951ab69-81f7-48ee-8980-581d57c38f2b;Работа
163e1842-a483-44eb-bff3-cafab3f39364;Услуги
528ea354-f4bb-4698-a939-bf802dbc06a6;Личные вещи
714bd382-922a-464d-bbbc-16f24120f2d0;Для дома и дачи
66f81cdc-fe75-4275-9187-42a6a99c79f1;Запчасти и аксессуары
0bca2980-b4e9-4a26-8494-f0fde2d54744;Электроника
c3654c8b-f653-4cb1-99b0-18183e24c2d2;Хобби и отдых
251aacae-650d-42b5-86f8-7579b44a5718;Животные
f0db148a-eab8-4920-ad9b-0717491605c7;Бизнес и оборудование
