id;profile_id;rating;created_at
31347e44-67cf-4740-a492-ca4b0b2b4175;a370e1a5-4dfa-4175-8742-c3184dbd49c5;0;2025-09-13 09:38:36
f4d66ef3-42d9-424f-b70c-0529633c157d;e2151987-7374-46c4-994b-4d456f1abe36;0;2025-09-13 09:38:36
2d405a19-c675-4255-94d1-12c1b925020d;fcb49128-57db-4601-ae0c-61b1f9702dc7;0;2025-09-13 09:38:36
b8018f99-8470-4b45-b5f4-85b818a2ce37;609a7689-f2af-4a03-8925-4d5b50d4e4cf;0;2025-09-13 09:38:36
bf6e9e71-4a52-4ee8-8805-a4f4527a7d3a;6fdaed1d-a398-477c-8558-a8c29283292e;0;2025-09-13 09:38:36
8fce78f6-c4b3-44e6-8440-d06bc5df96bb;525aea10-a3e3-4330-9a62-c34edbdaba1c;0;2025-09-13 09:38:36
bf07c72d-fb1e-49a1-a3e1-b2fd915ab5f6;e4c3af99-b736-4917-b475-b64480f0fe11;0;2025-09-13 09:38:36
75d2d75c-fdc5-43ea-83c6-62762a722899;d298f56a-8fde-4d7e-a856-d4ae533b6359;0;2025-09-13 09:38:36
2afcd90b-57f9-4cf6-b2d1-2a468ea78464;231c2358-963b-4d43-ba52-e67d825c386d;0;2025-09-13 09:38:36
761dfe46-2165-4e99-93ea-5a6ad425b1b4;ce86ace3-d380-4662-811a-bcf26c103a71;0;2025-09-13 09:38:36
